store_id,product_id,quantity,extract_time,source_name
1,1,27,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,2,5,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,3,6,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,4,23,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,5,22,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,6,0,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,7,8,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,8,0,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,9,11,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,10,15,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,11,8,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,12,16,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,13,13,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,14,8,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,15,3,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,16,4,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,17,2,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,18,16,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,19,4,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,20,26,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,21,24,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,22,29,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,23,9,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
1,24,10,2024-04-30 23:48:34.314554,/home/malak/bikestore_dim/stocks/stocks.csv
